,VOLUME_SESSION,AVG_J_S,Rech_Moy,MNT_FORFAIT_DATA,NB_JOUR_ACT_IN,revenu_cdr,P_revenu_data,P_FF_Journalier,P_FF_mensuel,P_N_Rech_sup5,Evolution volume session,Evolution rech_moy,pca_clusters
2949,0.0,0.0,1.69,0.0,30.0,14.64,0.0,0.0,0.0,0.17,0,0,1
2951,0.0,0.0,2.14,0.0,18.667,2.71,0.0,0.0,0.0,0.25,0,0,0
2952,4705.2,0.0,5.0,18.0,28.833000000000002,1.15,0.95,0.22,0.78,1.0,-225,0,1
2953,0.21,0.0,2.18,0.0,30.0,5.75,0.0,0.0,0.0,0.5,0,0,0
2954,0.86,2.43,1.19,0.0,22.166999999999998,3.94,0.0,0.0,0.0,0.08,0,0,1
2955,446.5,0.0,1.0,2.48,29.166999999999998,19.86,0.11,0.83,0.0,0.0,374,0,2
2956,14.46,0.0,3.52,0.0,28.666999999999998,13.73,0.0,0.0,0.0,0.64,0,0,0
2957,0.03,0.0,1.47,0.0,30.0,29.82,0.0,0.0,0.0,0.13,0,0,0
2958,0.0,17.14,1.0,0.0,19.0,0.45,0.0,0.0,0.0,0.0,0,0,1
2959,0.0,0.0,3.8,0.0,22.666999999999998,11.68,0.0,0.0,0.0,0.81,0,0,2
2960,0.04,0.0,5.0,0.3,29.0,12.79,0.02,0.17,0.0,1.0,0,0,0
2961,0.04,2.0,1.4,0.0,10.0,4.63,0.0,0.0,0.0,0.25,0,0,0
2962,1862.49,0.0,2.21,12.03,28.5,16.5,0.43,0.39,0.56,0.33,-1003,0,0
2963,0.0,0.0,1.0,0.0,29.666999999999998,19.05,0.0,0.0,0.0,0.0,0,0,0
2964,0.0,0.0,2.83,0.0,24.0,4.64,0.0,0.0,0.0,0.5,0,0,2
2965,0.0,0.0,4.31,0.0,30.0,19.46,0.06,0.0,0.0,0.85,0,0,1
2966,0.0,0.67,1.75,0.15,13.0,4.25,0.03,0.17,0.0,0.24,-43,0,0
2967,121.3,7.43,1.0,0.6,20.333,2.61,0.19,0.17,0.0,0.0,-206,0,1
2968,701.71,0.0,1.66,3.6,28.666999999999998,8.61,0.29,1.0,0.0,0.13,-64,0,1
2969,0.14,0.0,4.06,0.0,25.666999999999998,11.57,0.0,0.0,0.0,0.82,0,0,1
2970,0.0,0.0,1.06,0.0,26.833000000000002,11.39,0.0,0.0,0.0,0.02,-3,0,0
2971,0.0,0.0,1.0,0.0,27.333000000000002,10.56,0.0,0.0,0.0,0.0,0,0,0
2972,0.0,8.92,1.0,0.0,16.167,1.15,0.0,0.0,0.0,0.0,0,0,1
2973,0.0,4.25,1.67,0.0,4.5,1.63,0.0,0.0,0.0,0.08,0,0,1
2974,0.0,0.33,1.58,0.0,20.666999999999998,4.5,0.0,0.0,0.0,0.13,0,0,1
2975,0.42,3.78,2.5,0.04,23.0,0.92,0.7,0.17,0.0,0.17,0,1,2
